Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,669869,-,-,-,30.57,-98.02,0,347,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2013,1,1,0,30,11,0,0,0,7,11,0,0,0,0,100.0,100.34,0.106,970.0,2.859,340.90000000000003,0.7000000000000001
2013,1,1,1,30,11,0,0,0,7,11,0,0,0,0,100.0,112.65,0.106,970.0,2.87,3.3000000000000003,0.8
2013,1,1,2,30,11,0,0,0,7,11,0,0,0,0,100.0,125.32000000000001,0.106,970.0,2.907,11.8,0.9
2013,1,1,3,30,11,0,0,0,7,11,0,0,0,0,100.0,138.18,0.106,970.0,2.9410000000000003,12.700000000000001,1.1
2013,1,1,4,30,11,0,0,0,7,11,0,0,0,0,100.0,151.06,0.106,970.0,2.945,10.3,1.4000000000000001
2013,1,1,5,30,11,0,0,0,7,11,0,0,0,0,100.0,163.53,0.106,970.0,2.906,9.4,1.8
2013,1,1,6,30,11,0,0,0,6,11,0,0,0,0,100.0,172.3,0.106,970.0,2.828,9.8,2.2
2013,1,1,7,30,10,0,0,0,7,9,0,0,0,0,100.0,165.71,0.106,970.0,2.727,11.0,2.3000000000000003
2013,1,1,8,30,10,0,0,0,7,9,0,0,0,0,100.0,153.46,0.106,970.0,2.607,8.5,2.5
2013,1,1,9,30,9,0,0,0,7,9,0,0,0,0,100.0,140.6,0.106,970.0,2.489,10.600000000000001,3.0
2013,1,1,10,30,8,0,0,0,7,8,0,0,0,0,100.0,127.72,0.106,970.0,2.368,13.5,3.3000000000000003
2013,1,1,11,30,7,0,0,0,7,7,0,0,0,0,100.0,115.0,0.106,970.0,2.202,15.100000000000001,3.5
2013,1,1,12,30,6,0,0,0,7,6,0,0,0,0,100.0,102.61,0.106,970.0,1.994,8.4,3.9000000000000004
2013,1,1,13,30,6,0,0,0,7,5,0,0,0,0,98.81,90.71000000000001,0.106,970.0,1.797,0.8,4.4
2013,1,1,14,30,6,71,331,131,8,4,19,0,0,19,89.77,79.59,0.106,970.0,1.6420000000000001,357.3,4.5
2013,1,1,15,30,6,106,593,312,4,3,70,0,0,70,81.51,69.64,0.106,970.0,1.508,353.70000000000005,4.5
2013,1,1,16,30,6,115,742,471,4,1,138,0,0,138,75.47,61.44,0.106,980.0,1.358,348.20000000000005,4.5
2013,1,1,17,30,7,112,834,582,7,1,202,13,0,210,66.01,55.79,0.106,970.0,1.202,347.0,4.4
2013,1,1,18,30,8,106,879,629,7,0,283,154,0,375,58.15,53.52,0.106,970.0,1.073,344.5,4.3
2013,1,1,19,30,8,97,890,608,4,0,262,86,0,312,51.870000000000005,55.050000000000004,0.106,970.0,0.972,345.5,4.1000000000000005
2013,1,1,20,30,9,88,865,520,3,0,203,354,0,380,49.660000000000004,60.09,0.106,970.0,0.888,347.70000000000005,3.9000000000000004
2013,1,1,21,30,8,74,796,375,4,-1,157,65,0,181,51.49,67.85,0.106,970.0,0.81,349.20000000000005,3.8000000000000003
2013,1,1,22,30,7,55,625,190,0,-1,55,625,0,190,54.120000000000005,77.51,0.106,970.0,0.74,351.40000000000003,2.9000000000000004
2013,1,1,23,30,5,14,152,18,7,0,18,0,4,18,66.0,88.44,0.106,970.0,0.6910000000000001,357.1,2.0
2013,1,2,0,30,4,0,0,0,7,0,0,0,0,0,66.91,100.21000000000001,0.106,980.0,0.668,4.2,2.1
2013,1,2,1,30,4,0,0,0,4,0,0,0,0,0,70.36,112.52,0.106,980.0,0.657,9.200000000000001,2.4000000000000004
2013,1,2,2,30,3,0,0,0,7,-1,0,0,0,0,73.47,125.19,0.106,980.0,0.651,9.4,2.7
2013,1,2,3,30,2,0,0,0,4,-1,0,0,0,0,71.64,138.05,0.106,980.0,0.649,2.5,3.0
2013,1,2,4,30,2,0,0,0,7,-1,0,0,0,0,74.85000000000001,150.93,0.106,980.0,0.646,356.8,3.2
2013,1,2,5,30,1,0,0,0,4,-2,0,0,0,0,77.86,163.39000000000001,0.106,980.0,0.643,358.1,3.1
2013,1,2,6,30,1,0,0,0,4,-2,0,0,0,0,75.62,172.20000000000002,0.106,980.0,0.647,1.0,2.9000000000000004
2013,1,2,7,30,0,0,0,0,7,-3,0,0,0,0,74.07000000000001,165.74,0.106,980.0,0.662,2.2,2.8000000000000003
2013,1,2,8,30,0,0,0,0,4,-3,0,0,0,0,78.47,153.52,0.106,980.0,0.6890000000000001,359.6,2.7
2013,1,2,9,30,0,0,0,0,7,-3,0,0,0,0,77.63,140.67000000000002,0.106,980.0,0.723,355.1,2.6
2013,1,2,10,30,0,0,0,0,7,-3,0,0,0,0,76.82000000000001,127.79,0.106,980.0,0.756,350.40000000000003,2.6
2013,1,2,11,30,0,0,0,0,7,-3,0,0,0,0,75.99,115.06,0.106,980.0,0.787,349.1,2.6
2013,1,2,12,30,0,0,0,0,7,-3,0,0,0,0,75.3,102.66,0.106,980.0,0.8230000000000001,349.3,2.6
2013,1,2,13,30,0,0,0,0,7,-3,0,0,0,0,74.74,90.75,0.106,980.0,0.863,349.0,2.8000000000000003
2013,1,2,14,30,0,45,597,153,7,-4,53,0,0,53,72.98,79.62,0.106,980.0,0.907,353.3,3.0
2013,1,2,15,30,1,65,792,341,7,-5,145,89,0,176,64.24,69.64,0.106,980.0,0.9480000000000001,4.9,3.3000000000000003
2013,1,2,16,30,2,76,880,497,7,-5,213,98,0,260,58.230000000000004,61.410000000000004,0.106,980.0,0.978,9.0,3.2
2013,1,2,17,30,3,82,922,601,7,-5,264,139,0,343,53.67,55.74,0.106,980.0,0.988,8.6,3.1
2013,1,2,18,30,4,82,942,643,7,-5,284,143,0,369,50.06,53.43,0.106,980.0,0.975,7.9,3.1
2013,1,2,19,30,4,81,933,617,6,-5,271,142,0,353,46.62,54.94,0.106,980.0,0.9550000000000001,7.2,3.0
