Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,149672,-,-,-,40.05,-105.54,0,3121,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (285-385nm)
2016,1,1,0,30,-16,0,0,0,1,-19,0,0,0,0,64.42,98.28,0.866,710,0.158,85.80000000000001,0.5,N/A,N/A
2016,1,1,1,30,-18,0,0,0,1,-19,0,0,0,0,71.48,109.13,0.866,710,0.157,125.7,0.7000000000000001,N/A,N/A
2016,1,1,2,30,-19,0,0,0,1,-20,0,0,0,0,74.67,120.42,0.866,710,0.155,168.9,0.9,N/A,N/A
2016,1,1,3,30,-20,0,0,0,4,-21,0,0,0,0,77.32000000000001,131.88,0.866,710,0.152,189.4,1,N/A,N/A
2016,1,1,4,30,-21,0,0,0,1,-21,0,0,0,0,80.5,143.18,0.866,710,0.147,201,1.2000000000000002,N/A,N/A
2016,1,1,5,30,-22,0,0,0,8,-22,0,0,0,0,83.99,153.65,0.866,710,0.14,210.5,1.3,N/A,N/A
2016,1,1,6,30,-22,0,0,0,1,-22,0,0,0,0,80.95,161.42000000000002,0.866,710,0.131,221,1.4000000000000001,N/A,N/A
2016,1,1,7,30,-23,0,0,0,1,-22,0,0,0,0,84.9,162.21,0.866,710,0.121,233.5,1.5,N/A,N/A
2016,1,1,8,30,-23,0,0,0,1,-23,0,0,0,0,80.58,155.33,0.866,710,0.11,245.4,1.6,N/A,N/A
2016,1,1,9,30,-23,0,0,0,1,-24,0,0,0,0,76.14,145.14000000000001,0.866,710,0.1,258.5,1.7000000000000002,N/A,N/A
2016,1,1,10,30,-23,0,0,0,8,-24,0,0,0,0,70.87,133.92000000000002,0.866,710,0.091,269.6,1.8,N/A,N/A
2016,1,1,11,30,-23,0,0,0,8,-25,0,0,0,0,66.11,122.46000000000001,0.866,710,0.084,276.40000000000003,1.9000000000000001,N/A,N/A
2016,1,1,12,30,-23,0,0,0,1,-26,0,0,0,0,62.230000000000004,111.11,0.866,710,0.079,278.6,1.8,N/A,N/A
2016,1,1,13,30,-23,0,0,0,8,-27,0,0,0,0,58.26,100.16,0.866,710,0.073,276.5,1.8,N/A,N/A
2016,1,1,14,30,-22,0,0,0,8,-27,0,0,0,0,50.300000000000004,89.86,0.866,710,0.068,273.5,1.8,N/A,N/A
2016,1,1,15,30,-19,30,834,167,8,-26,25,0,4,25,42.38,80.57000000000001,0.866,710,0.061,272.6,1.8,N/A,N/A
2016,1,1,16,30,-14,42,988,335,8,-22,51,0,4,51,40.58,72.72,0.866,710,0.056,277.8,1.5,N/A,N/A
2016,1,1,17,30,-11,48,1053,462,4,-17,51,0,0,51,51.58,66.87,0.866,710,0.055,281.5,1.1,N/A,N/A
2016,1,1,18,30,-9,55,1074,533,4,-15,94,0,0,94,51.38,63.59,0.866,710,0.058,304.1,1,N/A,N/A
2016,1,1,19,30,-8,54,1075,538,1,-14,54,1075,0,538,52.34,63.300000000000004,0.866,710,0.063,321.40000000000003,1,N/A,N/A
2016,1,1,20,30,-8,51,1052,479,1,-13,51,1052,0,479,56.36,66.03,0.866,710,0.068,328.40000000000003,1,N/A,N/A
2016,1,1,21,30,-8,44,998,362,4,-12,34,847,4,303,58.27,71.44,0.866,710,0.07100000000000001,330.40000000000003,0.7000000000000001,N/A,N/A
2016,1,1,22,30,-11,33,871,200,4,-12,33,871,4,200,74.68,78.96000000000001,0.866,710,0.07200000000000001,324.20000000000005,0.6000000000000001,N/A,N/A
2016,1,1,23,30,-15,13,479,29,4,-16,29,0,4,29,76.36,88.01,0.866,710,0.07200000000000001,290.7,1,N/A,N/A
2016,1,2,0,30,-18,0,0,0,1,-18,0,0,0,0,80.25,98.15,0.866,710,0.07100000000000001,270.2,1.4000000000000001,N/A,N/A
2016,1,2,1,30,-19,0,0,0,1,-20,0,0,0,0,75.42,109,0.866,710,0.07100000000000001,262.40000000000003,1.6,N/A,N/A
2016,1,2,2,30,-18,0,0,0,1,-22,0,0,0,0,58.06,120.28,0.866,710,0.073,257.8,1.8,N/A,N/A
2016,1,2,3,30,-17,0,0,0,1,-24,0,0,0,0,42.480000000000004,131.75,0.866,710,0.076,254,1.7000000000000002,N/A,N/A
2016,1,2,4,30,-16,0,0,0,1,-27,0,0,0,0,30.98,143.05,0.866,710,0.082,251.5,1.5,N/A,N/A
2016,1,2,5,30,-16,0,0,0,8,-29,0,0,0,0,26.13,153.52,0.866,710,0.09,251.70000000000002,1.5,N/A,N/A
2016,1,2,6,30,-16,0,0,0,8,-30,0,0,0,0,23.580000000000002,161.3,0.866,710,0.095,252.9,1.6,N/A,N/A
2016,1,2,7,30,-16,0,0,0,1,-31,0,0,0,0,22.23,162.15,0.866,710,0.093,255,1.6,N/A,N/A
2016,1,2,8,30,-16,0,0,0,8,-31,0,0,0,0,21.400000000000002,155.34,0.866,710,0.08700000000000001,259.2,1.7000000000000002,N/A,N/A
2016,1,2,9,30,-18,0,0,0,1,-31,0,0,0,0,24.67,145.18,0.866,710,0.078,263.6,1.8,N/A,N/A
2016,1,2,10,30,-20,0,0,0,8,-31,0,0,0,0,28.46,133.96,0.866,710,0.069,263.90000000000003,1.9000000000000001,N/A,N/A
2016,1,2,11,30,-21,0,0,0,8,-32,0,0,0,0,30.21,122.5,0.866,710,0.061,264.8,2,N/A,N/A
2016,1,2,12,30,-22,0,0,0,8,-32,0,0,0,0,32.74,111.15,0.866,710,0.055,267.1,2,N/A,N/A
2016,1,2,13,30,-23,0,0,0,8,-32,0,0,0,0,36.300000000000004,100.19,0.866,710,0.054,269.6,2,N/A,N/A
