Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1102235,-,-,-,38.01,-78.46,0,146,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2014,1,1,0,30,-3,0,0,0,0,-5,0,0,0,0,83.15,117.86,0.111,1000.0,0.6930000000000001,292.0,0.4
2014,1,1,1,30,-2,0,0,0,0,-5,0,0,0,0,80.89,129.63,0.111,1000.0,0.74,289.7,0.5
2014,1,1,2,30,-2,0,0,0,0,-6,0,0,0,0,73.33,141.38,0.111,1000.0,0.782,274.2,0.6000000000000001
2014,1,1,3,30,-2,0,0,0,0,-6,0,0,0,0,73.0,152.62,0.111,1000.0,0.8170000000000001,246.60000000000002,0.5
2014,1,1,4,30,-2,0,0,0,0,-6,0,0,0,0,79.53,161.9,0.111,1000.0,0.847,237.3,0.4
2014,1,1,5,30,-2,0,0,0,0,-5,0,0,0,0,81.23,164.74,0.111,1000.0,0.873,250.20000000000002,0.4
2014,1,1,6,30,-2,0,0,0,1,-5,0,0,0,0,76.23,158.38,0.111,1000.0,0.898,268.1,0.4
2014,1,1,7,30,-1,0,0,0,7,-5,0,0,0,0,76.67,147.95000000000002,0.111,1000.0,0.926,280.90000000000003,0.5
2014,1,1,8,30,-1,0,0,0,7,-5,0,0,0,0,76.75,136.41,0.111,1000.0,0.9540000000000001,295.40000000000003,0.5
2014,1,1,9,30,-2,0,0,0,4,-5,0,0,0,0,76.95,124.60000000000001,0.111,1000.0,0.976,308.6,0.5
2014,1,1,10,30,-2,0,0,0,4,-5,0,0,0,0,77.55,112.91,0.111,1000.0,0.982,318.20000000000005,0.5
2014,1,1,11,30,-2,0,0,0,4,-5,0,0,0,0,77.41,101.56,0.111,1000.0,0.975,321.8,0.5
2014,1,1,12,30,-1,0,0,0,4,-5,0,0,0,0,77.78,90.82000000000001,0.111,1010.0,0.963,304.7,0.30000000000000004
2014,1,1,13,30,0,40,546,126,4,-4,52,0,0,52,71.49,81.01,0.111,1010.0,0.9530000000000001,268.6,0.2
2014,1,1,14,30,2,58,748,283,4,-4,83,512,0,237,65.14,72.54,0.111,1010.0,0.9450000000000001,222.9,0.2
2014,1,1,15,30,5,65,850,411,4,-4,140,435,0,317,54.480000000000004,65.99,0.111,1000.0,0.927,201.0,0.30000000000000004
2014,1,1,16,30,6,68,893,488,0,-3,68,893,0,488,53.08,61.980000000000004,0.111,1000.0,0.889,200.0,0.4
2014,1,1,17,30,7,68,906,508,0,-3,68,906,0,508,52.45,61.04,0.111,1000.0,0.833,197.20000000000002,0.4
2014,1,1,18,30,7,65,895,467,0,-2,65,895,0,467,52.24,63.300000000000004,0.111,1000.0,0.765,192.60000000000002,0.5
2014,1,1,19,30,6,58,849,370,0,-1,58,849,0,370,60.77,68.43,0.111,1000.0,0.6960000000000001,186.8,0.4
2014,1,1,20,30,3,47,742,228,0,0,47,742,0,228,84.93,75.85000000000001,0.111,1000.0,0.633,183.4,0.2
2014,1,1,21,30,0,25,464,66,0,0,25,464,0,66,99.84,84.94,0.111,1000.0,0.592,181.9,0.2
2014,1,1,22,30,0,0,0,0,0,-1,0,0,0,0,94.37,95.18,0.111,1000.0,0.579,184.10000000000002,0.2
2014,1,1,23,30,-1,0,0,0,0,-1,0,0,0,0,93.45,106.21000000000001,0.111,1000.0,0.586,191.4,0.2
2014,1,2,0,30,-1,0,0,0,0,-2,0,0,0,0,99.76,117.72,0.111,1000.0,0.607,200.60000000000002,0.2
2014,1,2,1,30,-1,0,0,0,4,-2,0,0,0,0,99.64,129.49,0.111,1000.0,0.637,211.8,0.2
2014,1,2,2,30,-1,0,0,0,7,-2,0,0,0,0,100.0,141.24,0.111,1000.0,0.664,224.4,0.2
2014,1,2,3,30,-1,0,0,0,7,-2,0,0,0,0,99.88,152.48,0.111,1000.0,0.686,233.70000000000002,0.2
2014,1,2,4,30,-2,0,0,0,7,-2,0,0,0,0,98.48,161.77,0.111,1000.0,0.7030000000000001,238.5,0.2
2014,1,2,5,30,-2,0,0,0,7,-2,0,0,0,0,96.97,164.68,0.111,1000.0,0.714,242.5,0.2
2014,1,2,6,30,-1,0,0,0,7,-2,0,0,0,0,95.92,158.39000000000001,0.111,1000.0,0.727,247.3,0.2
2014,1,2,7,30,-1,0,0,0,7,-2,0,0,0,0,96.01,147.99,0.111,990.0,0.755,250.8,0.2
2014,1,2,8,30,-1,0,0,0,7,-2,0,0,0,0,89.94,136.45,0.111,990.0,0.793,258.3,0.2
2014,1,2,9,30,-1,0,0,0,6,-2,0,0,0,0,90.03,124.65,0.111,990.0,0.8210000000000001,264.40000000000003,0.30000000000000004
2014,1,2,10,30,0,0,0,0,6,-2,0,0,0,0,89.38,112.95,0.111,990.0,0.8310000000000001,269.40000000000003,0.5
2014,1,2,11,30,0,0,0,0,6,-2,0,0,0,0,81.85000000000001,101.60000000000001,0.111,990.0,0.868,277.1,0.7000000000000001
2014,1,2,12,30,0,0,0,0,6,-2,0,0,0,0,81.32000000000001,90.84,0.111,990.0,0.981,282.1,0.6000000000000001
2014,1,2,13,30,0,41,532,124,6,-1,38,0,0,38,86.51,81.01,0.111,990.0,1.151,300.90000000000003,0.30000000000000004
2014,1,2,14,30,1,61,722,278,6,-1,118,46,0,132,84.22,72.53,0.111,990.0,1.33,319.5,0.1
