Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1039524,-,-,-,26.01,-81.1,0,4,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2013,1,1,0,30,17,0,0,0,0,14,0,0,0,0,87.94,113.13,0.131,1020.0,1.823,107.2,2.1
2013,1,1,1,30,16,0,0,0,3,15,0,0,0,0,95.4,126.27,0.131,1020.0,1.841,107.5,2.1
2013,1,1,2,30,16,0,0,0,3,15,0,0,0,0,96.13,139.61,0.131,1020.0,1.873,108.2,2.0
2013,1,1,3,30,16,0,0,0,7,15,0,0,0,0,96.36,153.06,0.131,1020.0,1.911,109.0,1.9000000000000001
2013,1,1,4,30,17,0,0,0,1,15,0,0,0,0,96.57000000000001,166.48,0.131,1020.0,1.944,110.10000000000001,1.8
2013,1,1,5,30,17,0,0,0,1,15,0,0,0,0,96.63,176.93,0.131,1020.0,1.964,111.9,1.7000000000000002
2013,1,1,6,30,16,0,0,0,1,15,0,0,0,0,96.73,165.57,0.131,1020.0,1.97,114.4,1.6
2013,1,1,7,30,16,0,0,0,1,15,0,0,0,0,96.83,152.13,0.131,1020.0,1.966,116.80000000000001,1.6
2013,1,1,8,30,16,0,0,0,3,15,0,0,0,0,96.91,138.68,0.131,1020.0,1.956,119.0,1.7000000000000002
2013,1,1,9,30,16,0,0,0,3,15,0,0,0,0,96.96000000000001,125.35000000000001,0.131,1020.0,1.944,121.60000000000001,1.9000000000000001
2013,1,1,10,30,16,0,0,0,3,15,0,0,0,0,96.84,112.23,0.131,1020.0,1.934,125.10000000000001,2.1
2013,1,1,11,30,16,0,0,0,1,15,0,0,0,0,96.8,99.44,0.131,1020.0,1.936,128.9,2.2
2013,1,1,12,30,18,22,122,28,0,15,22,122,0,28,85.93,87.14,0.131,1020.0,1.954,131.9,2.8000000000000003
2013,1,1,13,30,21,67,569,209,3,16,97,69,0,114,74.13,75.60000000000001,0.131,1020.0,1.987,134.9,3.5
2013,1,1,14,30,22,86,753,401,1,16,86,753,0,401,69.91,65.23,0.131,1020.0,2.025,140.1,3.8000000000000003
2013,1,1,15,30,23,93,845,557,1,16,93,845,0,557,65.89,56.69,0.131,1020.0,2.062,147.20000000000002,3.9000000000000004
2013,1,1,16,30,24,96,889,657,0,16,96,889,0,657,63.04,50.94,0.131,1010.0,2.096,153.5,3.8000000000000003
2013,1,1,17,30,24,97,902,689,0,16,97,902,0,689,63.88,48.95,0.131,1010.0,2.1310000000000002,160.0,3.6
2013,1,1,18,30,24,93,892,653,0,16,93,892,0,653,64.46000000000001,51.18,0.131,1010.0,2.16,165.8,3.4000000000000004
2013,1,1,19,30,24,87,854,551,0,16,87,854,0,551,64.65,57.13,0.131,1010.0,2.178,170.4,3.2
2013,1,1,20,30,23,76,774,393,0,16,76,774,0,393,68.54,65.8,0.131,1010.0,2.188,173.60000000000002,2.7
2013,1,1,21,30,22,57,600,200,1,17,57,600,0,200,73.69,76.25,0.131,1010.0,2.192,174.0,1.8
2013,1,1,22,30,20,17,135,22,0,17,17,135,0,22,84.97,87.85000000000001,0.131,1010.0,2.189,171.10000000000002,1.2000000000000002
2013,1,1,23,30,19,0,0,0,0,16,0,0,0,0,88.04,100.19,0.131,1010.0,2.185,169.0,1.1
2013,1,2,0,30,19,0,0,0,0,17,0,0,0,0,88.74,113.0,0.131,1010.0,2.189,166.4,1.1
2013,1,2,1,30,19,0,0,0,0,17,0,0,0,0,89.27,126.14,0.131,1010.0,2.203,163.8,1.1
2013,1,2,2,30,19,0,0,0,0,17,0,0,0,0,89.65,139.48,0.131,1010.0,2.225,160.9,1.0
2013,1,2,3,30,19,0,0,0,0,17,0,0,0,0,95.42,152.94,0.131,1010.0,2.251,156.20000000000002,1.0
2013,1,2,4,30,18,0,0,0,0,17,0,0,0,0,94.41,166.36,0.131,1010.0,2.2880000000000003,150.6,1.1
