Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1060699,-,-,-,25.77,-80.18,0,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed,Global Horizontal UV Irradiance (280-400nm),Global Horizontal UV Irradiance (285-385nm)
2010,1,1,0,30,22,0,0,0,3,18,0,0,0,0,82.08,113.9,0.098,1020,3.29,164.60000000000002,2.7,0.0000,0.0000
2010,1,1,1,30,22,0,0,0,3,19,0,0,0,0,83.23,127.07000000000001,0.098,1020,3.323,165.9,2.9000000000000004,0.0000,0.0000
2010,1,1,2,30,22,0,0,0,3,19,0,0,0,0,84.24,140.44,0.098,1020,3.335,168.9,3.1,0.0000,0.0000
2010,1,1,3,30,22,0,0,0,2,19,0,0,0,0,84.9,153.92000000000002,0.098,1020,3.327,171.3,3.2,0.0000,0.0000
2010,1,1,4,30,22,0,0,0,1,19,0,0,0,0,85.05,167.37,0.098,1010,3.314,175.8,3.2,0.0000,0.0000
2010,1,1,5,30,22,0,0,0,1,19,0,0,0,0,85.10000000000001,176.93,0.098,1010,3.301,180.3,3.1,0.0000,0.0000
2010,1,1,6,30,22,0,0,0,1,19,0,0,0,0,85.15,164.76,0.098,1010,3.2800000000000002,184.60000000000002,3.1,0.0000,0.0000
2010,1,1,7,30,22,0,0,0,1,19,0,0,0,0,85.25,151.28,0.098,1010,3.238,187,3.1,0.0000,0.0000
2010,1,1,8,30,22,0,0,0,1,19,0,0,0,0,90.81,137.81,0.098,1010,3.189,188.20000000000002,3.1,0.0000,0.0000
2010,1,1,9,30,21,0,0,0,0,19,0,0,0,0,91.16,124.47,0.098,1010,3.158,193.9,3,0.0000,0.0000
