Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,238776,-,-,-,47.41,-117.5,0,716,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2015,1,1,0,30,-9,0,0,0,0,-14,0,0,0,0,63.46,93.83,0.866,940.0,0.65,48.6,0.6000000000000001
2015,1,1,1,30,-10,0,0,0,0,-14,0,0,0,0,67.41,103.0,0.866,940.0,0.687,82.0,0.8
2015,1,1,2,30,-10,0,0,0,0,-15,0,0,0,0,65.31,112.79,0.866,940.0,0.718,114.80000000000001,1.0
2015,1,1,3,30,-11,0,0,0,1,-15,0,0,0,0,68.28,122.89,0.866,940.0,0.742,133.5,1.1
2015,1,1,4,30,-11,0,0,0,0,-15,0,0,0,0,66.84,132.95,0.866,940.0,0.766,138.3,1.2000000000000002
2015,1,1,5,30,-12,0,0,0,1,-16,0,0,0,0,71.89,142.46,0.866,940.0,0.795,136.3,1.2000000000000002
2015,1,1,6,30,-12,0,0,0,0,-16,0,0,0,0,71.69,150.46,0.866,940.0,0.8280000000000001,130.4,1.2000000000000002
2015,1,1,7,30,-12,0,0,0,1,-16,0,0,0,0,71.33,155.16,0.866,940.0,0.857,120.5,1.3
2015,1,1,8,30,-12,0,0,0,4,-16,0,0,0,0,70.9,154.52,0.866,940.0,0.874,110.5,1.4000000000000001
2015,1,1,9,30,-12,0,0,0,1,-16,0,0,0,0,71.28,148.88,0.866,940.0,0.885,102.10000000000001,1.4000000000000001
2015,1,1,10,30,-12,0,0,0,1,-15,0,0,0,0,72.15,140.42000000000002,0.866,940.0,0.901,95.30000000000001,1.4000000000000001
2015,1,1,11,30,-11,0,0,0,4,-15,0,0,0,0,68.09,130.73,0.866,940.0,0.927,92.7,1.4000000000000001
2015,1,1,12,30,-11,0,0,0,4,-15,0,0,0,0,69.05,120.63,0.866,940.0,0.9550000000000001,95.10000000000001,1.4000000000000001
2015,1,1,13,30,-11,0,0,0,1,-15,0,0,0,0,69.47,110.56,0.866,940.0,0.981,101.60000000000001,1.4000000000000001
2015,1,1,14,30,-11,0,0,0,4,-15,0,0,0,0,69.85000000000001,100.88,0.866,940.0,1.008,109.10000000000001,1.4000000000000001
2015,1,1,15,30,-10,0,0,0,4,-15,0,0,0,0,64.94,91.88,0.866,940.0,1.037,114.2,1.2000000000000002
2015,1,1,16,30,-9,33,458,81,0,-14,33,458,0,81,63.11,83.93,0.866,940.0,1.057,117.60000000000001,1.1
2015,1,1,17,30,-8,53,674,200,0,-13,53,674,0,200,64.59,77.44,0.866,940.0,1.06,120.30000000000001,0.9
2015,1,1,18,30,-7,70,742,288,0,-12,70,742,0,288,63.35,72.86,0.866,940.0,1.047,127.60000000000001,0.6000000000000001
2015,1,1,19,30,-7,76,777,334,1,-12,76,777,0,334,66.76,70.58,0.866,940.0,1.035,127.7,0.4
2015,1,1,20,30,-6,75,773,329,1,-11,75,773,0,329,64.69,70.85000000000001,0.866,930.0,1.043,86.4,0.30000000000000004
2015,1,1,21,30,-6,73,699,270,1,-11,73,699,0,270,66.57000000000001,73.64,0.866,930.0,1.076,55.5,0.5
2015,1,1,22,30,-6,57,582,172,0,-11,57,582,0,172,67.41,78.67,0.866,930.0,1.121,63.2,0.7000000000000001
2015,1,1,23,30,-7,30,315,54,4,-11,30,315,4,54,72.3,85.5,0.866,930.0,1.166,77.0,0.9
2015,1,2,0,30,-8,0,0,0,1,-11,0,0,0,0,73.25,93.7,0.866,930.0,1.207,90.0,1.0
2015,1,2,1,30,-8,0,0,0,1,-12,0,0,0,0,72.7,102.87,0.866,930.0,1.24,101.7,1.0
2015,1,2,2,30,-8,0,0,0,4,-11,0,0,0,0,73.05,112.66,0.866,930.0,1.26,109.30000000000001,1.0
2015,1,2,3,30,-8,0,0,0,1,-11,0,0,0,0,73.54,122.76,0.866,930.0,1.264,116.5,1.0
2015,1,2,4,30,-8,0,0,0,1,-11,0,0,0,0,73.89,132.82,0.866,930.0,1.252,125.0,1.1
2015,1,2,5,30,-8,0,0,0,4,-11,0,0,0,0,74.54,142.32,0.866,930.0,1.227,132.5,1.1
2015,1,2,6,30,-8,0,0,0,4,-11,0,0,0,0,75.72,150.33,0.866,930.0,1.204,134.9,1.1
2015,1,2,7,30,-8,0,0,0,4,-11,0,0,0,0,76.83,155.06,0.866,930.0,1.193,130.70000000000002,1.1
2015,1,2,8,30,-8,0,0,0,4,-11,0,0,0,0,77.49,154.47,0.866,930.0,1.201,124.80000000000001,1.2000000000000002
2015,1,2,9,30,-8,0,0,0,1,-11,0,0,0,0,78.35000000000001,148.87,0.866,930.0,1.234,122.60000000000001,1.4000000000000001
2015,1,2,10,30,-8,0,0,0,0,-10,0,0,0,0,79.13,140.43,0.866,930.0,1.2730000000000001,126.5,1.3
2015,1,2,11,30,-8,0,0,0,4,-10,0,0,0,0,80.43,130.75,0.866,930.0,1.285,130.8,1.2000000000000002
2015,1,2,12,30,-8,0,0,0,4,-10,0,0,0,0,81.69,120.65,0.866,930.0,1.2670000000000001,134.20000000000002,1.2000000000000002
2015,1,2,13,30,-7,0,0,0,7,-10,0,0,0,0,76.67,110.58,0.866,930.0,1.245,139.4,1.2000000000000002
2015,1,2,14,30,-7,0,0,0,7,-9,0,0,0,0,79.28,100.89,0.866,930.0,1.237,151.4,1.1
2015,1,2,15,30,-6,0,0,0,6,-9,0,0,0,0,76.08,91.88,0.866,930.0,1.258,167.3,1.2000000000000002
2015,1,2,16,30,-6,38,367,77,6,-8,14,0,4,14,79.35000000000001,83.92,0.866,930.0,1.292,178.8,1.6
2015,1,2,17,30,-5,64,584,192,6,-8,25,0,0,25,79.09,77.41,0.866,930.0,1.302,187.4,2.0
2015,1,2,18,30,-5,80,680,281,6,-7,27,0,0,27,82.77,72.8,0.866,930.0,1.28,197.9,2.3000000000000003
2015,1,2,19,30,-5,88,713,326,6,-7,56,0,0,56,84.23,70.5,0.866,930.0,1.244,207.70000000000002,2.5
2015,1,2,20,30,-5,90,699,321,6,-7,117,4,0,118,84.76,70.75,0.866,930.0,1.189,211.20000000000002,2.5
2015,1,2,21,30,-5,78,669,268,7,-7,74,0,0,74,78.97,73.53,0.866,930.0,1.088,211.0,2.2
2015,1,2,22,30,-5,58,587,174,4,-6,15,0,0,15,79.73,78.54,0.866,930.0,0.973,209.60000000000002,1.7000000000000002
2015,1,2,23,30,-5,30,334,57,4,-7,24,0,4,24,84.9,85.37,0.866,930.0,0.899,210.70000000000002,1.2000000000000002
2015,1,3,0,30,-6,0,0,0,4,-7,0,0,0,0,86.53,93.57000000000001,0.866,930.0,0.863,212.10000000000002,0.9
2015,1,3,1,30,-6,0,0,0,4,-8,0,0,0,0,85.41,102.73,0.866,930.0,0.839,215.60000000000002,0.6000000000000001
2015,1,3,2,30,-6,0,0,0,4,-7,0,0,0,0,86.29,112.52,0.866,930.0,0.8140000000000001,215.9,0.30000000000000004
2015,1,3,3,30,-6,0,0,0,4,-7,0,0,0,0,86.73,122.62,0.866,930.0,0.787,203.0,0.1
2015,1,3,4,30,-6,0,0,0,4,-7,0,0,0,0,86.69,132.68,0.866,930.0,0.763,203.9,0.0
2015,1,3,5,30,-6,0,0,0,1,-7,0,0,0,0,86.44,142.18,0.866,930.0,0.74,233.3,0.1
2015,1,3,6,30,-6,0,0,0,7,-7,0,0,0,0,85.99,150.20000000000002,0.866,930.0,0.706,39.400000000000006,0.30000000000000004
2015,1,3,7,30,-6,0,0,0,7,-8,0,0,0,0,85.21000000000001,154.95000000000002,0.866,930.0,0.658,57.400000000000006,0.7000000000000001
2015,1,3,8,30,-7,0,0,0,4,-8,0,0,0,0,89.24,154.4,0.866,930.0,0.608,72.7,1.0
2015,1,3,9,30,-8,0,0,0,1,-9,0,0,0,0,91.54,148.85,0.866,930.0,0.577,77.5,1.1
2015,1,3,10,30,-9,0,0,0,1,-9,0,0,0,0,94.16,140.44,0.866,930.0,0.5670000000000001,71.4,1.2000000000000002
2015,1,3,11,30,-10,0,0,0,1,-10,0,0,0,0,95.38,130.77,0.866,930.0,0.56,65.7,1.5
2015,1,3,12,30,-10,0,0,0,4,-11,0,0,0,0,88.92,120.66,0.866,930.0,0.554,61.6,1.7000000000000002
2015,1,3,13,30,-11,0,0,0,4,-12,0,0,0,0,91.29,110.59,0.866,930.0,0.553,61.7,1.8
2015,1,3,14,30,-11,0,0,0,7,-12,0,0,0,0,87.4,100.89,0.866,930.0,0.557,64.10000000000001,1.8
2015,1,3,15,30,-11,0,0,0,7,-13,0,0,0,0,83.21000000000001,91.87,0.866,930.0,0.56,69.4,1.8
2015,1,3,16,30,-10,34,471,85,4,-12,11,0,4,11,78.72,83.89,0.866,930.0,0.5660000000000001,75.4,2.0
2015,1,3,17,30,-8,55,691,207,4,-11,32,0,0,32,77.19,77.36,0.866,930.0,0.582,85.0,1.9000000000000001
2015,1,3,18,30,-6,67,785,300,4,-9,122,87,0,147,75.67,72.73,0.866,930.0,0.607,94.2,1.5
2015,1,3,19,30,-4,73,815,346,7,-8,66,0,0,66,73.18,70.41,0.866,930.0,0.639,95.30000000000001,1.2000000000000002
2015,1,3,20,30,-3,74,802,340,7,-7,56,0,0,56,73.82000000000001,70.65,0.866,930.0,0.677,95.9,1.0
2015,1,3,21,30,-3,67,756,283,7,-6,79,0,0,79,77.74,73.41,0.866,930.0,0.721,103.7,0.8
2015,1,3,22,30,-3,53,644,183,7,-5,23,0,0,23,81.05,78.41,0.866,930.0,0.773,105.2,0.7000000000000001
2015,1,3,23,30,-4,29,373,61,7,-5,9,0,4,9,87.33,85.23,0.866,930.0,0.8240000000000001,106.10000000000001,0.6000000000000001
2015,1,4,0,30,-5,0,0,0,7,-6,0,0,0,0,89.54,93.42,0.866,930.0,0.871,96.7,0.7000000000000001
2015,1,4,1,30,-5,0,0,0,7,-6,0,0,0,0,87.35000000000001,102.59,0.866,930.0,0.918,97.0,0.7000000000000001
2015,1,4,2,30,-5,0,0,0,7,-6,0,0,0,0,88.04,112.37,0.866,930.0,0.96,99.9,0.7000000000000001
