Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1197502,-,-,-,35.53,-75.46,0,0,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.1.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2018,1,1,0,30,1.8,0,0,0,4,-0.30000000000000004,0,0,0,0,85.84,119.89,0.03,1026,1.2000000000000002,350,8.6
2018,1,1,1,30,1.6,0,0,0,4,-0.2,0,0,0,0,87.76,132.05,0.03,1026,1.2000000000000002,348,8.700000000000001
2018,1,1,2,30,1.5,0,0,0,4,-0.2,0,0,0,0,88.35000000000001,144.19,0.03,1026,1.1,346,8.700000000000001
2018,1,1,3,30,1.4000000000000001,0,0,0,4,-0.2,0,0,0,0,89.16,155.85,0.03,1026,1.1,346,8.700000000000001
2018,1,1,4,30,1.4000000000000001,0,0,0,4,-0.1,0,0,0,0,89.52,165.32,0.03,1026,1.1,347,8.9
2018,1,1,5,30,1.3,0,0,0,4,-0.1,0,0,0,0,90.23,166.36,0.03,1027,1,349,9.200000000000001
2018,1,1,6,30,1.2000000000000002,0,0,0,4,-0.2,0,0,0,0,90.41,157.75,0.03,1027,1,351,9.600000000000001
2018,1,1,7,30,1,0,0,0,4,-0.4,0,0,0,0,90.43,146.27,0.03,1027,1,352,9.8
2018,1,1,8,30,0.8,0,0,0,4,-0.6000000000000001,0,0,0,0,90.33,134.16,0.03,1027,0.9,354,9.9
2018,1,1,9,30,0.6000000000000001,0,0,0,4,-0.8,0,0,0,0,90.60000000000001,121.98,0.03,1028,0.9,354,10
2018,1,1,10,30,0.4,0,0,0,4,-0.9,0,0,0,0,90.98,110,0.03,1028,0.8,354,10.100000000000001
2018,1,1,11,30,0.30000000000000004,0,0,0,8,-1.1,0,0,0,0,90.34,98.43,0.03,1029,0.7000000000000001,354,10.3
2018,1,1,12,30,0.2,23,194,32,8,-1.3,14,0,67,14,89.62,87.24,0.03,1030,0.6000000000000001,355,10.5
2018,1,1,13,30,0.2,56,633,193,4,-1.4000000000000001,79,22,67,84,88.68,77.5,0.03,1030,0.5,355,10.600000000000001
2018,1,1,14,30,0.2,70,801,356,4,-1.5,140,86,0,171,88.32000000000001,69.06,0.03,1031,0.5,356,10.600000000000001
2018,1,1,15,30,0.30000000000000004,78,878,481,4,-1.5,156,36,0,173,87.48,62.68,0.03,1031,0.5,356,10.600000000000001
2018,1,1,16,30,0.30000000000000004,80,917,551,4,-1.6,181,35,0,199,86.91,59.07,0.03,1030,0.5,356,10.5
2018,1,1,17,30,0.4,80,928,561,4,-1.7000000000000002,203,85,0,247,85.82000000000001,58.76,0.03,1030,0.4,355,10.4
2018,1,1,18,30,0.4,78,902,504,4,-1.7000000000000002,171,21,0,181,85.54,61.79,0.03,1030,0.4,354,10.3
2018,1,1,19,30,0.4,70,841,389,4,-1.7000000000000002,137,112,0,179,85.55,67.71000000000001,0.03,1030,0.4,353,10.100000000000001
2018,1,1,20,30,0.5,57,708,230,4,-1.7000000000000002,47,0,67,47,85.09,75.83,0.03,1030,0.4,352,9.9
2018,1,1,21,30,0.4,32,366,61,4,-1.7000000000000002,14,5,100,14,85.89,85.41,0.03,1031,0.4,351,9.600000000000001
2018,1,1,22,30,0.4,0,0,0,7,-1.7000000000000002,0,0,0,0,85.78,96.36,0.03,1032,0.30000000000000004,349,9.3
2018,1,1,23,30,0.4,0,0,0,4,-1.7000000000000002,0,0,0,0,85.65,107.83,0.03,1032,0.30000000000000004,349,9.200000000000001
2018,1,2,0,30,0.5,0,0,0,4,-1.7000000000000002,0,0,0,0,85.05,119.75,0.03,1032,0.30000000000000004,348,8.9
2018,1,2,1,30,0.6000000000000001,0,0,0,4,-1.7000000000000002,0,0,0,0,84.57000000000001,131.91,0.03,1033,0.30000000000000004,347,8.700000000000001
2018,1,2,2,30,0.7000000000000001,0,0,0,4,-1.7000000000000002,0,0,0,0,83.81,144.06,0.03,1032,0.30000000000000004,346,8.6
2018,1,2,3,30,0.9,0,0,0,4,-1.7000000000000002,0,0,0,0,82.57000000000001,155.71,0.03,1032,0.30000000000000004,346,8.5
2018,1,2,4,30,1,0,0,0,4,-1.7000000000000002,0,0,0,0,81.98,165.19,0.03,1032,0.30000000000000004,345,8.6
2018,1,2,5,30,1,0,0,0,4,-1.8,0,0,0,0,81.76,166.32,0.03,1032,0.30000000000000004,344,8.9
2018,1,2,6,30,0.8,0,0,0,4,-1.8,0,0,0,0,82.58,157.78,0.03,1032,0.30000000000000004,344,9.1
2018,1,2,7,30,0.5,0,0,0,4,-1.7000000000000002,0,0,0,0,84.98,146.32,0.03,1033,0.30000000000000004,344,9.1
2018,1,2,8,30,0.30000000000000004,0,0,0,4,-1.5,0,0,0,0,87.44,134.21,0.03,1033,0.30000000000000004,345,8.9
2018,1,2,9,30,0.2,0,0,0,4,-1.3,0,0,0,0,89.86,122.04,0.03,1033,0.30000000000000004,347,8.700000000000001
2018,1,2,10,30,0.2,0,0,0,4,-0.9,0,0,0,0,92.06,110.05,0.03,1034,0.30000000000000004,351,8.6
2018,1,2,11,30,0.30000000000000004,0,0,0,4,-0.6000000000000001,0,0,0,0,93.47,98.47,0.03,1034,0.30000000000000004,354,8.5
2018,1,2,12,30,0.5,23,221,34,4,-0.4,10,0,67,10,93.59,87.26,0.03,1035,0.30000000000000004,356,8.4
2018,1,2,13,30,0.9,54,662,197,4,-0.30000000000000004,64,0,67,64,91.5,77.51,0.03,1035,0.4,358,8.200000000000001
2018,1,2,14,30,1.2000000000000002,69,820,362,4,-0.30000000000000004,136,184,0,202,89.9,69.05,0.03,1035,0.4,359,7.9
2018,1,2,15,30,1.5,79,886,486,4,-0.2,174,372,0,345,88.7,62.64,0.03,1035,0.4,357,7.7
2018,1,2,16,30,1.7000000000000002,79,926,556,4,-0.1,190,432,0,412,88.14,59,0.03,1034,0.4,355,7.300000000000001
2018,1,2,17,30,1.8,76,938,564,4,0.1,185,464,0,426,88.27,58.660000000000004,0.03,1033,0.4,352,6.9
2018,1,2,18,30,2,72,919,508,4,0.1,177,401,0,367,87.31,61.67,0.03,1033,0.4,350,6.5
2018,1,2,19,30,2,63,879,398,4,0,127,430,0,291,86.68,67.58,0.03,1033,0.30000000000000004,348,6.2
2018,1,2,20,30,1.9000000000000001,50,765,239,4,-0.2,95,150,67,132,86.23,75.69,0.03,1033,0.30000000000000004,348,5.800000000000001
