Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,629434,-,-,-,43.85,-99.5,0,507,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2006,1,1,0,30,-1,0,0,0,4,-2,0,0,0,0,87.65,103.78,0.866,940.0,1.215,85.9,4.2
2006,1,1,1,30,-2,0,0,0,0,-3,0,0,0,0,92.51,114.25,0.866,940.0,1.243,86.4,3.9000000000000004
2006,1,1,2,30,-2,0,0,0,7,-3,0,0,0,0,90.55,125.02,0.866,940.0,1.2630000000000001,83.2,3.6
2006,1,1,3,30,-2,0,0,0,7,-3,0,0,0,0,89.13,135.75,0.866,940.0,1.29,77.7,3.4000000000000004
2006,1,1,4,30,-2,0,0,0,7,-3,0,0,0,0,88.17,145.94,0.866,940.0,1.323,74.4,3.5
2006,1,1,5,30,-2,0,0,0,7,-3,0,0,0,0,87.58,154.5,0.866,940.0,1.358,74.2,3.6
2006,1,1,6,30,-2,0,0,0,6,-3,0,0,0,0,86.82000000000001,159.02,0.866,930.0,1.3980000000000001,74.7,3.5
2006,1,1,7,30,-2,0,0,0,7,-4,0,0,0,0,85.73,156.88,0.866,930.0,1.453,75.10000000000001,3.5
2006,1,1,8,30,-2,0,0,0,7,-4,0,0,0,0,85.15,149.48,0.866,940.0,1.528,75.5,3.7
2006,1,1,9,30,-2,0,0,0,6,-4,0,0,0,0,84.9,139.73,0.866,930.0,1.615,77.80000000000001,3.8000000000000003
2006,1,1,10,30,-1,0,0,0,6,-4,0,0,0,0,85.10000000000001,129.12,0.866,930.0,1.708,78.7,4.0
2006,1,1,11,30,-1,0,0,0,7,-4,0,0,0,0,79.95,118.32000000000001,0.866,940.0,1.794,84.0,4.4
2006,1,1,12,30,-1,0,0,0,7,-3,0,0,0,0,81.34,107.69,0.866,940.0,1.856,89.10000000000001,4.7
2006,1,1,13,30,-1,0,0,0,7,-3,0,0,0,0,82.79,97.54,0.866,940.0,1.8920000000000001,89.7,4.9
2006,1,1,14,30,-1,15,117,19,7,-3,4,0,4,4,84.04,88.16,0.866,940.0,1.9040000000000001,88.30000000000001,4.9
2006,1,1,15,30,0,60,455,139,7,-3,25,0,0,25,79.38,79.94,0.866,940.0,1.8960000000000001,85.10000000000001,4.9
2006,1,1,16,30,0,86,615,262,6,-2,113,43,0,125,80.55,73.31,0.866,940.0,1.8840000000000001,81.2,4.800000000000001
2006,1,1,17,30,0,98,701,351,7,-2,134,15,0,140,81.94,68.81,0.866,940.0,1.877,80.2,4.6000000000000005
2006,1,1,18,30,0,110,706,387,7,-2,160,45,0,178,83.5,66.86,0.866,940.0,1.871,80.10000000000001,4.2
2006,1,1,19,30,0,110,685,370,7,-2,156,54,0,177,85.33,67.72,0.866,940.0,1.858,77.9,3.9000000000000004
2006,1,1,20,30,0,96,643,302,7,-1,86,0,0,86,87.12,71.27,0.866,940.0,1.827,70.10000000000001,3.5
2006,1,1,21,30,0,74,524,191,7,-1,81,10,0,83,88.41,77.12,0.866,940.0,1.778,56.900000000000006,3.3000000000000003
2006,1,1,22,30,0,36,275,61,7,-1,26,0,4,26,88.61,84.78,0.866,940.0,1.726,48.800000000000004,3.5
2006,1,1,23,30,0,0,0,0,7,-1,0,0,0,0,88.18,93.75,0.866,940.0,1.684,47.6,3.8000000000000003
2006,1,2,0,30,0,0,0,0,7,-1,0,0,0,0,87.65,103.64,0.866,940.0,1.6560000000000001,49.1,4.1000000000000005
2006,1,2,1,30,0,0,0,0,7,-2,0,0,0,0,86.3,114.11,0.866,940.0,1.6360000000000001,51.5,4.2
2006,1,2,2,30,-1,0,0,0,7,-2,0,0,0,0,90.37,124.88000000000001,0.866,940.0,1.62,53.7,4.0
2006,1,2,3,30,-1,0,0,0,7,-2,0,0,0,0,87.97,135.61,0.866,940.0,1.604,53.7,3.5
2006,1,2,4,30,-1,0,0,0,4,-3,0,0,0,0,86.19,145.8,0.866,940.0,1.588,48.2,3.0
2006,1,2,5,30,-1,0,0,0,4,-3,0,0,0,0,84.63,154.37,0.866,940.0,1.569,39.7,2.5
2006,1,2,6,30,-2,0,0,0,7,-3,0,0,0,0,89.31,158.92000000000002,0.866,940.0,1.552,30.400000000000002,2.1
2006,1,2,7,30,-2,0,0,0,7,-3,0,0,0,0,88.24,156.84,0.866,940.0,1.542,14.200000000000001,1.7000000000000002
2006,1,2,8,30,-2,0,0,0,7,-3,0,0,0,0,87.8,149.48,0.866,940.0,1.537,2.0,1.5
2006,1,2,9,30,-2,0,0,0,4,-3,0,0,0,0,86.69,139.75,0.866,950.0,1.54,4.1000000000000005,1.6
2006,1,2,10,30,-2,0,0,0,7,-4,0,0,0,0,85.79,129.15,0.866,950.0,1.544,359.0,1.8
2006,1,2,11,30,-2,0,0,0,7,-4,0,0,0,0,85.24,118.35000000000001,0.866,950.0,1.534,13.4,1.9000000000000001
2006,1,2,12,30,-2,0,0,0,8,-4,0,0,0,0,83.7,107.72,0.866,950.0,1.497,40.800000000000004,1.8
2006,1,2,13,30,-3,0,0,0,4,-4,0,0,0,0,88.36,97.55,0.866,950.0,1.427,56.2,1.3
