Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,629434,-,-,-,43.85,-99.5,0,507,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DHI,DNI,Fill Flag,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2009,1,1,0,30,-2,0,0,0,1,-7,0,0,0,0,67.36,103.74000000000001,0.176,940.0,0.716,162.70000000000002,6.4
2009,1,1,1,30,-3,0,0,0,4,-7,0,0,0,0,71.03,114.22,0.176,940.0,0.715,161.0,5.800000000000001
2009,1,1,2,30,-4,0,0,0,7,-7,0,0,0,0,75.01,124.98,0.176,940.0,0.732,159.4,5.1000000000000005
2009,1,1,3,30,-4,0,0,0,6,-7,0,0,0,0,73.87,135.71,0.176,940.0,0.763,161.0,4.1000000000000005
2009,1,1,4,30,-4,0,0,0,6,-7,0,0,0,0,74.72,145.9,0.176,940.0,0.808,165.60000000000002,2.7
2009,1,1,5,30,-4,0,0,0,6,-7,0,0,0,0,77.85000000000001,154.46,0.176,940.0,0.875,191.4,1.5
2009,1,1,6,30,-4,0,0,0,6,-6,0,0,0,0,81.10000000000001,158.99,0.176,940.0,0.987,252.3,1.4000000000000001
2009,1,1,7,30,-4,0,0,0,6,-6,0,0,0,0,83.12,156.87,0.176,940.0,1.101,294.40000000000003,1.9000000000000001
2009,1,1,8,30,-4,0,0,0,7,-6,0,0,0,0,84.07000000000001,149.48,0.176,940.0,1.1280000000000001,310.40000000000003,2.3000000000000003
2009,1,1,9,30,-3,0,0,0,7,-6,0,0,0,0,79.34,139.73,0.176,940.0,1.067,309.70000000000005,2.5
2009,1,1,10,30,-3,0,0,0,7,-5,0,0,0,0,82.06,129.13,0.176,940.0,0.961,296.5,2.5
2009,1,1,11,30,-2,0,0,0,4,-4,0,0,0,0,80.25,118.33,0.176,940.0,0.87,281.90000000000003,2.7
2009,1,1,12,30,-2,0,0,0,4,-4,0,0,0,0,85.15,107.7,0.176,940.0,0.8290000000000001,277.90000000000003,2.8000000000000003
2009,1,1,13,30,-1,0,0,0,7,-3,0,0,0,0,85.05,97.54,0.176,940.0,0.792,279.3,2.8000000000000003
2009,1,1,14,30,0,14,204,21,7,-2,12,0,4,12,85.72,88.16,0.176,940.0,0.73,277.90000000000003,3.5
2009,1,1,15,30,0,42,618,150,1,-1,42,618,0,150,92.07000000000001,79.93,0.176,940.0,0.651,277.7,4.5
2009,1,1,16,30,1,55,776,278,4,0,113,45,0,126,87.65,73.3,0.176,940.0,0.5740000000000001,282.90000000000003,5.4
2009,1,1,17,30,2,62,849,369,4,-2,130,8,0,133,70.60000000000001,68.79,0.176,940.0,0.525,300.0,6.0
2009,1,1,18,30,3,64,874,409,7,-4,160,286,0,272,55.76,66.84,0.176,940.0,0.504,305.7,6.0
2009,1,1,19,30,3,64,863,392,4,-5,164,182,4,233,52.08,67.69,0.176,940.0,0.501,300.0,5.5
2009,1,1,20,30,2,60,812,321,4,-6,132,193,0,194,54.160000000000004,71.24,0.176,940.0,0.51,292.7,4.9
2009,1,1,21,30,1,53,669,203,4,-6,53,669,4,203,57.94,77.09,0.176,940.0,0.52,287.1,4.4
2009,1,1,22,30,0,29,417,68,7,-7,29,417,4,68,58.9,84.74,0.176,940.0,0.521,287.1,4.1000000000000005
2009,1,1,23,30,-1,0,0,0,7,-8,0,0,0,0,58.730000000000004,93.71000000000001,0.176,940.0,0.526,290.7,3.9000000000000004
2009,1,2,0,30,-2,0,0,0,4,-8,0,0,0,0,61.13,103.60000000000001,0.176,940.0,0.545,296.90000000000003,3.4000000000000004
2009,1,2,1,30,-2,0,0,0,1,-8,0,0,0,0,61.81,114.08,0.176,940.0,0.5750000000000001,310.40000000000003,3.2
2009,1,2,2,30,-3,0,0,0,4,-8,0,0,0,0,67.73,124.84,0.176,940.0,0.611,335.6,3.3000000000000003
2009,1,2,3,30,-4,0,0,0,7,-8,0,0,0,0,71.52,135.57,0.176,940.0,0.653,355.6,3.5
2009,1,2,4,30,-5,0,0,0,7,-9,0,0,0,0,76.11,145.76,0.176,950.0,0.7000000000000001,9.9,3.4000000000000004
2009,1,2,5,30,-7,0,0,0,7,-11,0,0,0,0,71.66,154.33,0.176,950.0,0.746,22.900000000000002,3.2
2009,1,2,6,30,-8,0,0,0,8,-13,0,0,0,0,67.25,158.9,0.176,940.0,0.784,36.2,3.2
2009,1,2,7,30,-8,0,0,0,4,-14,0,0,0,0,59.370000000000005,156.83,0.176,940.0,0.806,48.300000000000004,3.3000000000000003
2009,1,2,8,30,-10,0,0,0,7,-15,0,0,0,0,62.39,149.48,0.176,940.0,0.8160000000000001,61.2,3.5
2009,1,2,9,30,-11,0,0,0,7,-16,0,0,0,0,61.64,139.75,0.176,940.0,0.8220000000000001,72.60000000000001,3.9000000000000004
2009,1,2,10,30,-12,0,0,0,7,-17,0,0,0,0,62.410000000000004,129.16,0.176,940.0,0.834,80.60000000000001,4.1000000000000005
2009,1,2,11,30,-12,0,0,0,7,-18,0,0,0,0,60.33,118.35000000000001,0.176,940.0,0.851,86.10000000000001,4.3
2009,1,2,12,30,-13,0,0,0,7,-18,0,0,0,0,64.92,107.72,0.176,940.0,0.864,92.5,4.4
2009,1,2,13,30,-13,0,0,0,7,-18,0,0,0,0,64.79,97.55,0.176,940.0,0.874,97.10000000000001,4.4
2009,1,2,14,30,-12,14,211,21,4,-18,12,0,4,12,60.18,88.16,0.176,940.0,0.881,103.7,4.5
2009,1,2,15,30,-10,43,597,147,7,-17,64,181,0,96,55.4,79.91,0.176,940.0,0.897,108.30000000000001,4.6000000000000005
2009,1,2,16,30,-8,58,740,271,7,-15,116,186,0,169,52.620000000000005,73.26,0.176,940.0,0.923,104.10000000000001,5.1000000000000005
2009,1,2,17,30,-6,66,804,358,7,-14,152,206,0,227,50.7,68.73,0.176,940.0,0.9510000000000001,110.5,5.7
2009,1,2,18,30,-4,69,828,396,4,-12,138,4,0,140,50.120000000000005,66.75,0.176,940.0,0.989,116.30000000000001,6.1000000000000005
2009,1,2,19,30,-3,67,818,379,1,-11,67,818,0,379,53.9,67.58,0.176,940.0,1.027,120.7,6.4
2009,1,2,20,30,-2,61,773,311,4,-9,134,89,0,163,57.6,71.11,0.176,940.0,1.024,123.9,6.4
2009,1,2,21,30,-2,50,659,199,4,-7,80,3,0,81,64.67,76.95,0.176,940.0,0.975,123.4,5.800000000000001
2009,1,2,22,30,-3,29,386,65,7,-6,27,0,4,27,74.64,84.60000000000001,0.176,940.0,0.96,116.9,5.4
